date,Open,High,Low,value,Volume
2026-01-05,3448.77,3486.0,3448.77,3477.52,2372819800
2026-01-06,3505.53,3539.98,3505.39,3538.44,2633424600
2026-01-07,3508.91,3526.56,3502.81,3511.34,2585235200
2026-01-08,3501.66,3509.82,3481.76,3484.34,2502392800
2026-01-09,3494.87,3518.34,3488.24,3514.11,2472258100
2026-01-13,3566.42,3604.16,3562.62,3598.89,2936712000
2026-01-14,3612.71,3644.16,3607.83,3644.16,2670409100
2026-01-15,3636.25,3674.71,3636.25,3668.98,2625286800
2026-01-16,3655.81,3666.47,3642.63,3658.68,2579455800
2026-01-19,3634.9,3657.98,3619.82,3656.4,2306357600
2026-01-20,3640.56,3646.15,3619.73,3625.6,2323911800
2026-01-21,3577.95,3599.76,3568.9,3589.7,2455501400
2026-01-22,3625.13,3632.55,3614.16,3616.38,2579825600
2026-01-23,3634.48,3648.66,3621.46,3629.7,2253008100
2026-01-26,3581.08,3581.54,3548.39,3552.49,2424040200
2026-01-27,3544.24,3567.96,3526.09,3563.59,2306337300
2026-01-28,3536.24,3548.69,3520.4,3535.49,2476727800
2026-01-29,3529.29,3556.17,3507.72,3545.3,2658952900
2026-01-30,3556.77,3574.41,3536.26,3566.32,2648976000
2026-02-02,3597.27,3628.41,3533.78,3536.13,2668752000
2026-02-03,3577.54,3650.51,3575.0,3645.84,2578138600
2026-02-04,3636.87,3659.17,3621.69,3655.58,3007177500
2026-02-05,3668.08,3686.09,3638.62,3652.41,3237523700
2026-02-06,3635.0,3699.0,3613.47,3699.0,3008807900
2026-02-09,3756.21,3825.67,3752.74,3783.57,3253775000
2026-02-10,3809.22,3863.9,3808.45,3855.28,3102268200
2026-02-12,3855.98,3888.94,3850.02,3882.16,3263823900
2026-02-13,3861.27,3871.83,3815.48,3818.85,3617976400
2026-02-16,3824.12,3828.34,3784.53,3787.38,2665144100
2026-02-17,3781.43,3794.94,3746.33,3761.55,2462996600
2026-02-18,3783.75,3817.33,3783.32,3807.25,2455005800
2026-02-19,3822.19,3858.5,3814.94,3852.09,2514655800
2026-02-20,3821.0,3821.0,3794.9,3808.48,2647052800
2026-02-24,3806.15,3824.46,3792.28,3815.98,2853160000
2026-02-25,3829.76,3861.42,3808.16,3843.16,2959202000
2026-02-26,3875.54,3903.35,3873.8,3880.34,2793894000
2026-02-27,3878.86,3938.68,3876.87,3938.68,3317330300
2026-03-02,3882.67,3898.42,3824.0,3898.42,2904169000
2026-03-03,3867.37,3873.59,3763.43,3772.17,3199530800
2026-03-04,3718.32,3723.37,3589.25,3633.67,3609678900
2026-03-05,3695.75,3777.3,3681.9,3702.67,2974247300
2026-03-06,3667.6,3721.11,3652.16,3716.93,2558549300
2026-03-09,3649.48,3649.48,3492.76,3575.84,3887092100
2026-03-10,3625.03,3691.92,3619.42,3664.28,3019479400
2026-03-11,3703.57,3741.16,3694.34,3698.85,3077308500
2026-03-12,3660.74,3666.53,3615.43,3649.85,2837957800
2026-03-13,3597.42,3648.13,3586.78,3629.03,2946533000
2026-03-16,3618.19,3638.92,3586.09,3610.73,2459796700
2026-03-17,3647.32,3670.47,3612.72,3627.07,2414892500
2026-03-18,3653.17,3717.58,3653.17,3717.41,2541938400
2026-03-19,3657.25,3661.64,3608.99,3609.4,3387552900
